original_value,normalized_value,suggested_group,similarity_score,count,decision
CONSEIL ACADIEN DE PAR-EN-BAS,CONSEIL ACADIEN DE PAR EN BAS,CONSEIL ACADIEN DE PAR-EN-BAS,100,46,accepted
Battlefords Agency Tribal Chiefs Inc.,BATTLEFORDS AGENCY TRIBAL CHIEFS INC,Battlefords Agency Tribal Chiefs Inc.,100,45,accepted
CBDC Chaleur Inc.|CBDC Chaleur Inc.,CBDC CHALEUR INC,CBDC Chaleur Inc.|CBDC Chaleur Inc.,100,45,accepted
Food Island Partnership Inc.|Food Island Partnership Inc.,FOOD ISLAND PARTNERSHIP INC,Food Island Partnership Inc.|Food Island Partnership Inc.,100,45,accepted
Saint Mary's University|Saint Mary's University,SAINT MARY S UNIVERSITY,Saint Mary's University|Saint Mary's University,100,45,accepted
Venn Innovation Inc.|Venn Innovation Inc.,VENN INNOVATION INC,Venn Innovation Inc.|Venn Innovation Inc.,100,45,accepted
ATLANTIC PRESENTERS ASSOCIATION INC.,ATLANTIC PRESENTERS ASSOCIATION INC,ATLANTIC PRESENTERS ASSOCIATION INC.,100,44,accepted
Cape Breton University|Cape Breton University,CAPE BRETON UNIVERSITY,Cape Breton University|Cape Breton University,100,43,accepted
Craft Alliance Atlantic Association|Craft Alliance Atlantic Association,CRAFT ALLIANCE ATLANTIC ASSOCIATION,Craft Alliance Atlantic Association|Craft Alliance Atlantic Association,100,43,accepted
Halifax Regional Municipality|Halifax Regional Municipality,HALIFAX REGIONAL MUNICIPALITY,Halifax Regional Municipality|Halifax Regional Municipality,100,43,accepted
Ulnooweg Development Group Incorporated|Ulnooweg Development Group Incorporated,ULNOOWEG DEVELOPMENT GROUP INCORPORATED,Ulnooweg Development Group Incorporated|Ulnooweg Development Group Incorporated,100,42,accepted
Destination Cape Breton Association Inc.|Destination Cape Breton Association Inc.,DESTINATION CAPE BRETON ASSOCIATION INC,Destination Cape Breton Association Inc.|Destination Cape Breton Association Inc.,100,41,accepted
