original_value,normalized_value,suggested_group,similarity_score,count,decision
Oleotek inc.,OLEOTEK INC,Oleotek inc.,100,5,accepted
"Ontario, Ministry of Agriculture, Food and Rural Affairs",ONTARIO MINISTRY OF AGRICULTURE FOOD AND RURAL AFFAIRS,"Ontario, Ministry of Agriculture, Food and Rural Affairs",100,5,accepted
Otipemisiwak Métis Government,OTIPEMISIWAK METIS GOVERNMENT,Otipemisiwak Métis Government,100,5,accepted
Outdoor-Fit Exercise Systems Inc.|Outdoor-Fit Exercise Systems Inc.,OUTDOOR FIT EXERCISE SYSTEMS INC,Outdoor-Fit Exercise Systems Inc.|Outdoor-Fit Exercise Systems Inc.,100,5,accepted
PAROISSE FRANCAISE ST-JEAN BAPTISTE,PAROISSE FRANCAISE ST JEAN BAPTISTE,PAROISSE FRANCAISE ST-JEAN BAPTISTE,100,5,accepted
PINECREST-QUEENSWAY COMMUNITY HEALTH CENTRE,PINECREST QUEENSWAY COMMUNITY HEALTH CENTRE,Pinecrest-Queensway Community Health Centre,100,5,accepted
PRESSE-OUEST LTÉE,PRESSE OUEST LTEE,PRESSE-OUEST LTÉE.,100,5,accepted
PROVINCE OF SASKATCHEWAN,PROVINCE OF SASKATCHEWAN,PROVINCE OF SASKATCHEWAN,100,5,accepted
Paddle Prairie Metis Settlement,PADDLE PRAIRIE METIS SETTLEMENT,Paddle Prairie Metis Settlement,100,5,accepted
Parc Safari (2002) inc.|Parc Safari (2002) inc.,PARC SAFARI 2002 INC,Parc Safari (2002) inc.|Parc Safari (2002) inc.,100,5,accepted
Parc de la Rivière Batiscan inc.|Parc de la Rivière Batiscan inc.,PARC DE LA RIVIERE BATISCAN INC,Parc de la Rivière Batiscan inc.|Parc de la Rivière Batiscan inc.,100,5,accepted
Parc régional Montagne du Diable|Parc régional Montagne du Diable,PARC REGIONAL MONTAGNE DU DIABLE,Parc régional Montagne du Diable|Parc régional Montagne du Diable,100,5,accepted
Patro de Charlesbourg inc.,PATRO DE CHARLESBOURG INC,Patro de Charlesbourg inc.,100,5,accepted
Peace by Chocolate Inc.|Peace by Chocolate Inc.,PEACE BY CHOCOLATE INC,Peace by Chocolate Inc.|Peace by Chocolate Inc.,100,5,accepted
"Pearson, Christopher E",PEARSON CHRISTOPHER E,"Pearson, Christopher E",100,5,accepted
Pehdzeh Ki First Nation,PEHDZEH KI FIRST NATION,Pehdzeh Ki First Nation,100,5,accepted
People for a Healthy Community on Gabriola Society,PEOPLE FOR A HEALTHY COMMUNITY ON GABRIOLA SOCIETY,People for a Healthy Community on Gabriola Society,100,5,accepted
Peter Jennen Farms Inc.,PETER JENNEN FARMS INC,Peter Jennen Farms Inc.,100,5,accepted
"Phillips, Stuart M",PHILLIPS STUART M,"Phillips, Stuart M",100,5,accepted
Piikani Nation,PIIKANI NATION,Piikani Nation,100,5,accepted
Pinecrest-Queensway Community Health Centre,PINECREST QUEENSWAY COMMUNITY HEALTH CENTRE,Pinecrest-Queensway Community Health Centre,100,5,accepted
Plein air Haute-Rouge|Plein air Haute-Rouge,PLEIN AIR HAUTE ROUGE,Plein air Haute-Rouge|Plein air Haute-Rouge,100,5,accepted
Potager Yvanhoé inc.,POTAGER YVANHOE INC,Potager Yvanhoé inc.,100,5,accepted
"Potvin, Louise",POTVIN LOUISE,"Potvin, Louise",100,5,accepted
Prelco Inc.|Prelco Inc.,PRELCO INC,Prelco Inc.|Prelco Inc.,100,5,accepted
Producteurs et productrices acéricoles du Québec,PRODUCTEURS ET PRODUCTRICES ACERICOLES DU QUEBEC,Producteurs et productrices acéricoles du Québec,100,5,accepted
Produits Belt-Tech Inc.,PRODUITS BELT TECH INC,Produits Belt-Tech Inc.,100,5,accepted
Pêcheries Baie Chaleurs Fisheries (2012) Inc|Pêcheries Baie Chaleurs Fisheries (2012) Inc,PECHERIES BAIE CHALEURS FISHERIES 2012 INC,Pêcheries Baie Chaleurs Fisheries (2012) Inc|Pêcheries Baie Chaleurs Fisheries (2012) Inc,100,5,accepted
RAINY RIVER FIRST NATIONS,RAINY RIVER FIRST NATIONS,RAINY RIVER FIRST NATIONS,100,5,accepted
READER'S DIGEST MAGAZINES LIMITED / PÉRIODIQUES READER'S DIGEST LIMITÉE,READER S DIGEST MAGAZINES LIMITED PERIODIQUES READER S DIGEST LIMITEE,READER'S DIGEST MAGAZINES LIMITED - PÉRIODIQUES READER'S DIGEST LIMITÉE,100,5,accepted
RESEAU ONTARIO DES ARTS DE LA SCENE INC.,RESEAU ONTARIO DES ARTS DE LA SCENE INC,RÉSEAU ONTARIO DES ARTS DE LA SCÈNE INC.,100,5,accepted
"RETNAKARAN, Ravi R",RETNAKARAN RAVI R,"RETNAKARAN, Ravi R",100,5,accepted
REUSSITE SCOLAIRE,REUSSITE SCOLAIRE,REUSSITE SCOLAIRE,100,5,accepted
RFINE Biomass Solutions Inc.|RFINE Biomass Solutions Inc.,RFINE BIOMASS SOLUTIONS INC,RFINE Biomass Solutions Inc.|RFINE Biomass Solutions Inc.,100,5,accepted
"ROULEAU, Guy A",ROULEAU GUY A,"ROULEAU, Guy A",100,5,accepted
ROYAL CANADIAN LEGION BRANCH # 79,ROYAL CANADIAN LEGION BRANCH 79,ROYAL CANADIAN LEGION BRANCH #79,100,5,accepted
"RUDNICKI, Michael A",RUDNICKI MICHAEL A,"RUDNICKI, Michael A",100,5,accepted
RURAL MUNICIPALITY OF CRAPAUD,RURAL MUNICIPALITY OF CRAPAUD,RURAL MUNICIPALITY OF CRAPAUD,100,5,accepted
RURAL MUNICIPALITY OF NORTH SHORE,RURAL MUNICIPALITY OF NORTH SHORE,RURAL MUNICIPALITY OF NORTH SHORE,100,5,accepted
Razor Contract Manufacturing Ltd.|Razor Contract Manufacturing Ltd.,RAZOR CONTRACT MANUFACTURING LTD,Razor Contract Manufacturing Ltd.|Razor Contract Manufacturing Ltd.,100,5,accepted
Red Rock Indian Band,RED ROCK INDIAN BAND,RED ROCK INDIAN BAND,100,5,accepted
Roots to Harvest,ROOTS TO HARVEST,Roots to Harvest,100,5,accepted
"Rosella, Laura C",ROSELLA LAURA C,"Rosella, Laura C",100,5,accepted
RÉSEAU ENVIRONNEMENT INC.,RESEAU ENVIRONNEMENT INC,RÉSEAU ENVIRONNEMENT INC.,100,5,accepted
RÉUSSITE SCOLAIRE,REUSSITE SCOLAIRE,REUSSITE SCOLAIRE,100,5,accepted
SADC Centre-de-la-Mauricie,SADC CENTRE DE LA MAURICIE,SADC Centre-de-la-Mauricie,100,5,accepted
SAMSON CREE NATION,SAMSON CREE NATION,Samson Cree Nation,100,5,accepted
"SCHERTZER, Jonathan D",SCHERTZER JONATHAN D,"SCHERTZER, Jonathan D",100,5,accepted
SCP 89 inc.,SCP 89 INC,SCP 89 inc.,100,5,accepted
"SHANNON, Kate",SHANNON KATE,"SHANNON, Kate",100,5,accepted
"SHOVELLER, Jean A",SHOVELLER JEAN A,"SHOVELLER, Jean A",100,5,accepted
SIERRA LEONEAN COMMUNITY OF BRITISH COLUMBIA,SIERRA LEONEAN COMMUNITY OF BRITISH COLUMBIA,SIERRA LEONEAN COMMUNITY OF BRITISH COLUMBIA,100,5,accepted
SITE HISTORIQUE MARITIME DE LA POINTE-AU-PÈRE,SITE HISTORIQUE MARITIME DE LA POINTE AU PERE,SITE HISTORIQUE MARITIME DE LA POINTE-AU-PÈRE,100,5,accepted
SKEETCHESTN INDIAN BAND,SKEETCHESTN INDIAN BAND,Skeetchestn Indian Band,100,5,accepted
"SMITH, Peter M",SMITH PETER M,"SMITH, Peter M",100,5,accepted
SOCIÉTÉ GÉNÉALOGIQUE CANADIENNE FRANÇAISE - MÉMOIRES DE LA SOCIÉTÉ GÉNÉALOGIQUE CANADIENNE-FRANÇAISE,SOCIETE GENEALOGIQUE CANADIENNE FRANCAISE MEMOIRES DE LA SOCIETE GENEALOGIQUE CANADIENNE FRANCAISE,SOCIÉTÉ GÉNÉALOGIQUE CANADIENNE FRANÇAISE - MÉMOIRES DE LA SOCIÉTÉ GÉNÉALOGIQUE CANADIENNE-FRANÇAISE,100,5,accepted
SOMMET SOCIO-ÉCONOMIQUE POUR LE DÉVELOPPEMENT DES JEUNES DES COMMUNAUTÉS NOIRES,SOMMET SOCIO ECONOMIQUE POUR LE DEVELOPPEMENT DES JEUNES DES COMMUNAUTES NOIRES,SOMMET SOCIO-ÉCONOMIQUE POUR LE DÉVELOPPEMENT DES JEUNES DES COMMUNAUTÉS NOIRES,100,5,accepted
"SONENBERG, Nahum",SONENBERG NAHUM,"SONENBERG, Nahum",100,5,accepted
SONGWRITERS AND STORYTELLERS SOCIETY,SONGWRITERS AND STORYTELLERS SOCIETY,SONGWRITERS AND STORYTELLERS SOCIETY,100,5,accepted
ST. GEORGE'S HERITAGE COMMITTEE INC.,ST GEORGE S HERITAGE COMMITTEE INC,ST. GEORGE'S HERITAGE COMMITTEE INC.,100,5,accepted
ST. JOHN'S NATIVE FRIENDSHIP CENTRE ASSOCIATION,ST JOHN S NATIVE FRIENDSHIP CENTRE ASSOCIATION,ST. JOHN'S NATIVE FRIENDSHIP CENTRE ASSOCIATION,100,5,accepted
ST. JOHN'S STORYTELLING FESTIVAL INC.,ST JOHN S STORYTELLING FESTIVAL INC,ST. JOHN'S STORYTELLING FESTIVAL INC.,100,5,accepted
STRATFORD-PERTH MUSEUM ASSOCIATION,STRATFORD PERTH MUSEUM ASSOCIATION,STRATFORD PERTH MUSEUM ASSOCIATION,100,5,accepted
STURGEON LAKE FIRST NATION,STURGEON LAKE FIRST NATION,STURGEON LAKE FIRST NATION,100,5,accepted
Saint John Destination Marketing Inc.|Saint John Destination Marketing Inc.,SAINT JOHN DESTINATION MARKETING INC,Saint John Destination Marketing Inc.|Saint John Destination Marketing Inc.,100,5,accepted
Salt Spring Apple Company Ltd.,SALT SPRING APPLE COMPANY LTD,Salt Spring Apple Company Ltd.,100,5,accepted
Saskatchewan Conservation Learning Centre Inc.,SASKATCHEWAN CONSERVATION LEARNING CENTRE INC,Saskatchewan Conservation Learning Centre Inc.,100,5,accepted
Screen Nova Scotia Industry Association|Screen Nova Scotia Industry Association,SCREEN NOVA SCOTIA INDUSTRY ASSOCIATION,Screen Nova Scotia Industry Association|Screen Nova Scotia Industry Association,100,5,accepted
"Serghides, Lena",SERGHIDES LENA,"Serghides, Lena",100,5,accepted
"Shoveller, Jean A",SHOVELLER JEAN A,"SHOVELLER, Jean A",100,5,accepted
Simard Suspensions inc.,SIMARD SUSPENSIONS INC,Simard Suspensions inc.,100,5,accepted
Sir William F. Coaker Heritage Foundation Inc.|Sir William F. Coaker Heritage Foundation Inc.,SIR WILLIAM F COAKER HERITAGE FOUNDATION INC,Sir William F. Coaker Heritage Foundation Inc.|Sir William F. Coaker Heritage Foundation Inc.,100,5,accepted
Société d'Aide au Développement des Collectivités des Laurentides inc.,SOCIETE D AIDE AU DEVELOPPEMENT DES COLLECTIVITES DES LAURENTIDES INC,Société d'Aide au Développement des Collectivités des Laurentides inc.,100,5,accepted
Société d'aide au développement de la collectivité (SADC) des Iles-de-la-Madeleine,SOCIETE D AIDE AU DEVELOPPEMENT DE LA COLLECTIVITE SADC DES ILES DE LA MADELEINE,Société d'aide au développement de la collectivité (SADC) des Iles-de-la-Madeleine,100,5,accepted
Société d'aide au développement de la collectivité Achigan-Montcalm inc.,SOCIETE D AIDE AU DEVELOPPEMENT DE LA COLLECTIVITE ACHIGAN MONTCALM INC,Société d'aide au développement de la collectivité Achigan-Montcalm inc.,100,5,accepted
Société d'aide au développement de la collectivité d'Antoine-Labelle,SOCIETE D AIDE AU DEVELOPPEMENT DE LA COLLECTIVITE D ANTOINE LABELLE,Société d'aide au développement de la collectivité d'Antoine-Labelle,100,5,accepted
Société d'aide au développement de la collectivité de Charlevoix,SOCIETE D AIDE AU DEVELOPPEMENT DE LA COLLECTIVITE DE CHARLEVOIX,Société d'aide au développement de la collectivité de Charlevoix,100,5,accepted
Société d'aide au développement de la collectivité de Portneuf inc.,SOCIETE D AIDE AU DEVELOPPEMENT DE LA COLLECTIVITE DE PORTNEUF INC,Société d'aide au développement de la collectivité de Portneuf inc.,100,5,accepted
Société d'aide au développement de la collectivité de Témiscouata (SADC),SOCIETE D AIDE AU DEVELOPPEMENT DE LA COLLECTIVITE DE TEMISCOUATA SADC,Société d'aide au développement de la collectivité de Témiscouata (SADC),100,5,accepted
Société d'aide au développement de la collectivité de l'Amiante,SOCIETE D AIDE AU DEVELOPPEMENT DE LA COLLECTIVITE DE L AMIANTE,Société d'aide au développement de la collectivité de l'Amiante,100,5,accepted
Société d'aide au développement de la collectivité de la Côte-Nord inc.,SOCIETE D AIDE AU DEVELOPPEMENT DE LA COLLECTIVITE DE LA COTE NORD INC,Société d'aide au développement de la collectivité de la Côte-Nord inc.,100,5,accepted
Société d'aide au développement de la collectivité de la région de Matane inc.,SOCIETE D AIDE AU DEVELOPPEMENT DE LA COLLECTIVITE DE LA REGION DE MATANE INC,Société d'aide au développement de la collectivité de la région de Matane inc.,100,5,accepted
Société d'aide au développement de la collectivité du Haut-Saint-François,SOCIETE D AIDE AU DEVELOPPEMENT DE LA COLLECTIVITE DU HAUT SAINT FRANCOIS,Société d'aide au développement de la collectivité du Haut-Saint-François,100,5,accepted
Société d'aide au développement de la collectivité du Rocher-Percé Inc.,SOCIETE D AIDE AU DEVELOPPEMENT DE LA COLLECTIVITE DU ROCHER PERCE INC,Société d'aide au développement de la collectivité du Rocher-Percé Inc.,100,5,accepted
Société d'aide au développement des collectivités (SADC) de la Haute-Côte-Nord inc.,SOCIETE D AIDE AU DEVELOPPEMENT DES COLLECTIVITES SADC DE LA HAUTE COTE NORD INC,Société d'aide au développement des collectivités (SADC) de la Haute-Côte-Nord inc.,100,5,accepted
Société d'aide au développement des collectivités Harricana inc.,SOCIETE D AIDE AU DEVELOPPEMENT DES COLLECTIVITES HARRICANA INC,Société d'aide au développement des collectivités Harricana inc.,100,5,accepted
Société d'aide au développement des collectivités d'Abitibi-Ouest,SOCIETE D AIDE AU DEVELOPPEMENT DES COLLECTIVITES D ABITIBI OUEST,Société d'aide au développement des collectivités d'Abitibi-Ouest,100,5,accepted
Société d'aide au développement des collectivités de Rouyn-Noranda,SOCIETE D AIDE AU DEVELOPPEMENT DES COLLECTIVITES DE ROUYN NORANDA,Société d'aide au développement des collectivités de Rouyn-Noranda,100,5,accepted
Société d'aide au développement des collectivités de la Neigette inc.,SOCIETE D AIDE AU DEVELOPPEMENT DES COLLECTIVITES DE LA NEIGETTE INC,Société d'aide au développement des collectivités de la Neigette inc.,100,5,accepted
Société des attractions touristiques du Québec (SATQ),SOCIETE DES ATTRACTIONS TOURISTIQUES DU QUEBEC SATQ,Société des attractions touristiques du Québec (SATQ),100,5,accepted
Solarvest (P.E.I.) Inc.|Solarvest (P.E.I.) Inc.,SOLARVEST P E I INC,Solarvest (P.E.I.) Inc.|Solarvest (P.E.I.) Inc.,100,5,accepted
Solefood Farm Inc.,SOLEFOOD FARM INC,Solefood Farm Inc.,100,5,accepted
Solutions Novika|Solutions Novika,SOLUTIONS NOVIKA,Solutions Novika|Solutions Novika,100,5,accepted
St. John's Dockyard Limited|St. John's Dockyard Limited,ST JOHN S DOCKYARD LIMITED,St. John's Dockyard Limited|St. John's Dockyard Limited,100,5,accepted
"Stagg, John",STAGG JOHN,"Stagg, John",100,5,accepted
Summer Street Industries Society|Summer Street Industries Society,SUMMER STREET INDUSTRIES SOCIETY,Summer Street Industries Society|Summer Street Industries Society,100,5,accepted
Sunchild First Nation,SUNCHILD FIRST NATION,SUNCHILD FIRST NATION,100,5,accepted
Sécurité GMR inc.,SECURITE GMR INC,Sécurité GMR inc.,100,5,accepted
TNO - The Neighbourhood Organization,TNO THE NEIGHBOURHOOD ORGANIZATION,TNO - The Neighbourhood Organization,100,5,accepted
"TONELLI, Marcello",TONELLI MARCELLO,"TONELLI, Marcello",100,5,accepted
TOWN OF BURGEO,TOWN OF BURGEO,TOWN OF BURGEO,100,5,accepted
TOWN OF HINTON,TOWN OF HINTON,TOWN OF HINTON,100,5,accepted
TOWN OF KING'S POINT,TOWN OF KING S POINT,TOWN OF KING'S POINT,100,5,accepted
TOWN OF MAYERTHORPE,TOWN OF MAYERTHORPE,TOWN OF MAYERTHORPE,100,5,accepted
TOWN OF PACQUET,TOWN OF PACQUET,TOWN OF PACQUET,100,5,accepted
TOWN OF PARSONS POND,TOWN OF PARSONS POND,TOWN OF PARSON'S POND,100,5,accepted
TOWN OF WATROUS,TOWN OF WATROUS,TOWN OF WATROUS,100,5,accepted
TRACADIE COMMUNITY CENTRE,TRACADIE COMMUNITY CENTRE,TRACADIE COMMUNITY CENTRE,100,5,accepted
"TRICCO, Andrea C",TRICCO ANDREA C,"TRICCO, Andrea C",100,5,accepted
TVA PUBLICATIONS INC. - COOL!,TVA PUBLICATIONS INC COOL,TVA PUBLICATIONS INC. - COOL,100,5,accepted
Technopole Maritime du Québec,TECHNOPOLE MARITIME DU QUEBEC,Technopole Maritime du Québec,100,5,accepted
Techéol inc.,TECHEOL INC,Techéol inc.,100,5,accepted
"Terres en Vues, Société pour la diffusion de la culture autochtone",TERRES EN VUES SOCIETE POUR LA DIFFUSION DE LA CULTURE AUTOCHTONE,"TERRES EN VUES, SOCIÉTÉ POUR LA DIFFUSION DE LA CULTURE AUTOCHTONE",100,5,accepted
The Army Museum Halifax Citadel|The Army Museum Halifax Citadel,THE ARMY MUSEUM HALIFAX CITADEL,The Army Museum Halifax Citadel|The Army Museum Halifax Citadel,100,5,accepted
The Centre for Innovation Studies|The Centre for Innovation Studies,THE CENTRE FOR INNOVATION STUDIES,The Centre for Innovation Studies|The Centre for Innovation Studies,100,5,accepted
The College of Piping and Celtic Performing Arts of Canada Inc.|The College of Piping and Celtic Performing Arts of Canada Inc.,THE COLLEGE OF PIPING AND CELTIC PERFORMING ARTS OF CANADA INC,The College of Piping and Celtic Performing Arts of Canada Inc.|The College of Piping and Celtic Performing Arts of Canada Inc.,100,5,accepted
The Confederacy of Mainland Mi'kmaq,THE CONFEDERACY OF MAINLAND MI KMAQ,The Confederacy of Mainland Mi'kmaq,100,5,accepted
The Old Sydney Society|The Old Sydney Society,THE OLD SYDNEY SOCIETY,The Old Sydney Society|The Old Sydney Society,100,5,accepted
The Saint John Theatre Company Inc.|The Saint John Theatre Company Inc.,THE SAINT JOHN THEATRE COMPANY INC,The Saint John Theatre Company Inc.|The Saint John Theatre Company Inc.,100,5,accepted
The Savoy Theatre Society|The Savoy Theatre Society,THE SAVOY THEATRE SOCIETY,The Savoy Theatre Society|The Savoy Theatre Society,100,5,accepted
The Stop Community Food Centre,THE STOP COMMUNITY FOOD CENTRE,The Stop Community Food Centre,100,5,accepted
The Van Horne Estate On Ministers Island Inc.|The Van Horne Estate On Ministers Island Inc.,THE VAN HORNE ESTATE ON MINISTERS ISLAND INC,The Van Horne Estate On Ministers Island Inc.|The Van Horne Estate On Ministers Island Inc.,100,5,accepted
Tobique First Nation,TOBIQUE FIRST NATION,Tobique First Nation,100,5,accepted
Tourism Industry Association of New Brunswick Inc./L'Association de l'industrie |Tourism Industry Association of New Brunswick Inc./L'Association de l'industrie,TOURISM INDUSTRY ASSOCIATION OF NEW BRUNSWICK INC L ASSOCIATION DE L INDUSTRIE TOURISM INDUSTRY ASSOCIATION OF NEW BRUNSWICK INC L ASSOCIATION DE L INDUSTRIE,Tourism Industry Association of New Brunswick Inc./L'Association de l'industrie |Tourism Industry Association of New Brunswick Inc./L'Association de l'industrie,100,5,accepted
Tourisme Baie-James,TOURISME BAIE JAMES,Tourisme Baie-James,100,5,accepted
Town of Cape St. George|Town of Cape St. George,TOWN OF CAPE ST GEORGE,Town of Cape St. George|Town of Cape St. George,100,5,accepted
Traversées de la Gaspésie|Traversées de la Gaspésie,TRAVERSEES DE LA GASPESIE,Traversées de la Gaspésie|Traversées de la Gaspésie,100,5,accepted
Tri-Star Industries Limited|Tri-Star Industries Limited,TRI STAR INDUSTRIES LIMITED,Tri-Star Industries Limited|Tri-Star Industries Limited,100,5,accepted
Trinity United Church,TRINITY UNITED CHURCH,Trinity United Church,100,5,accepted
Tutti Gourmet Inc.,TUTTI GOURMET INC,Tutti Gourmet Inc.,100,5,accepted
U.H.A. Research Society,U H A RESEARCH SOCIETY,U.H.A. Research Society,100,5,accepted
UNDER ONE SKY - MONOQONUWICIK - NEOTEETJG MOSIGISG INC.,UNDER ONE SKY MONOQONUWICIK NEOTEETJG MOSIGISG INC,UNDER ONE SKY - MONOQONUWICIK - NEOTEETJG MOSIGISG INC.,100,5,accepted
UNIQUE GET TOGETHER SOCIETY,UNIQUE GET TOGETHER SOCIETY,UNIQUE GET TOGETHER SOCIETY,100,5,accepted
UNIVERSITY OF BRITISH COLUMBIA,UNIVERSITY OF BRITISH COLUMBIA,UNIVERSITY OF BRITISH COLUMBIA,100,5,accepted
UNIVERSITY OF MANITOBA,UNIVERSITY OF MANITOBA,UNIVERSITY OF MANITOBA,100,5,accepted
"URQUIA, Marcelo L",URQUIA MARCELO L,"URQUIA, Marcelo L",100,5,accepted
Université de Montréal,UNIVERSITE DE MONTREAL,Université de Montréal,100,5,accepted
Université de Sherbrooke,UNIVERSITE DE SHERBROOKE,Université de Sherbrooke,100,5,accepted
Université du Québec à Trois-Rivières,UNIVERSITE DU QUEBEC A TROIS RIVIERES,Université du Québec à Trois-Rivières,100,5,accepted
Usinage Marcotte inc.,USINAGE MARCOTTE INC,Usinage Marcotte inc.,100,5,accepted
VANITY FASHIONS LIMITED|VANITY FASHIONS LIMITED,VANITY FASHIONS LIMITED,VANITY FASHIONS LIMITED|VANITY FASHIONS LIMITED,100,5,accepted
VILLAGE D'ATHOLVILLE,VILLAGE D ATHOLVILLE,VILLAGE D'ATHOLVILLE,100,5,accepted
VILLAGE DE BALMORAL INC.,VILLAGE DE BALMORAL INC,VILLAGE DE BALMORAL INC.,100,5,accepted
VILLAGE DE NIGADOO,VILLAGE DE NIGADOO,VILLAGE DE NIGADOO,100,5,accepted
VILLAGE OF ALMA,VILLAGE OF ALMA,VILLAGE OF ALMA,100,5,accepted
VILLAGE OF BLACKS HARBOUR,VILLAGE OF BLACKS HARBOUR,VILLAGE OF BLACKS HARBOUR,100,5,accepted
VILLAGE OF BLACKVILLE,VILLAGE OF BLACKVILLE,VILLAGE OF BLACKVILLE,100,5,accepted
VILLAGE OF EEL RIVER CROSSING,VILLAGE OF EEL RIVER CROSSING,VILLAGE OF EEL RIVER CROSSING,100,5,accepted
VILLAGE OF GRAND MANAN,VILLAGE OF GRAND MANAN,VILLAGE OF GRAND MANAN,100,5,accepted
VILLE DE PERCÉ,VILLE DE PERCE,VILLE DE PERCÉ,100,5,accepted
Verger Belliveau Orchard Ltd.|Verger Belliveau Orchard Ltd.,VERGER BELLIVEAU ORCHARD LTD,Verger Belliveau Orchard Ltd.|Verger Belliveau Orchard Ltd.,100,5,accepted
"Verma, Subodh S",VERMA SUBODH S,"Verma, Subodh S",100,5,accepted
Village de Tadoussac|Village de Tadoussac,VILLAGE DE TADOUSSAC,Village de Tadoussac|Village de Tadoussac,100,5,accepted
Village en chanson de Petite-Vallée,VILLAGE EN CHANSON DE PETITE VALLEE,VILLAGE EN CHANSON DE PETITE-VALLÉE,100,5,accepted
Ville de Laval|Ville de Laval,VILLE DE LAVAL,Ville de Laval|Ville de Laval,100,5,accepted
Ville de New Richmond,VILLE DE NEW RICHMOND,VILLE DE NEW RICHMOND,100,5,accepted
Ville de Québec (Office de Tourisme de Québec),VILLE DE QUEBEC OFFICE DE TOURISME DE QUEBEC,Ville de Québec (Office de Tourisme de Québec),100,5,accepted
Ville de Trois-Rivières|Ville de Trois-Rivières,VILLE DE TROIS RIVIERES,Ville de Trois-Rivières|Ville de Trois-Rivières,100,5,accepted
WIKWEMIKONG UNCEDED INDIAN RESERVE,WIKWEMIKONG UNCEDED INDIAN RESERVE,WIKWEMIKONG UNCEDED INDIAN RESERVE,100,5,accepted
WOODSTOCK FIRST NATION,WOODSTOCK FIRST NATION,Woodstock First Nation,100,5,accepted
Wachiay Friendship Centre Society,WACHIAY FRIENDSHIP CENTRE SOCIETY,Wachiay Friendship Centre Society,100,5,accepted
Williams Lake First Nation,WILLIAMS LAKE FIRST NATION,Williams Lake First Nation,100,5,accepted
Windsor Agricultural Society|Windsor Agricultural Society,WINDSOR AGRICULTURAL SOCIETY,Windsor Agricultural Society|Windsor Agricultural Society,100,5,accepted
YARMOUTH COUNTY AGRICULTURAL SOCIETY,YARMOUTH COUNTY AGRICULTURAL SOCIETY,YARMOUTH COUNTY AGRICULTURAL SOCIETY,100,5,accepted
"Yong, Voon W",YONG VOON W,"Yong, Voon W",100,5,accepted
Zeltech Fab inc.|Zeltech Fab inc.,ZELTECH FAB INC,Zeltech Fab inc.|Zeltech Fab inc.,100,5,accepted
naturSource inc.,NATURSOURCE INC,naturSource inc.,100,5,accepted
ÉDIFICE MAILLET INC.,EDIFICE MAILLET INC,ÉDIFICE MAILLET INC.,100,5,accepted
ÉDITIONS FRANCO-TÉNOISES / L' AQUILON (LES),EDITIONS FRANCO TENOISES L AQUILON LES,ÉDITIONS FRANCO-TÉNOISES / L' AQUILON (LES),100,5,accepted
ÉDITIONS FRANCO-TÉNOISES / L'AQUILON (LES),EDITIONS FRANCO TENOISES L AQUILON LES,ÉDITIONS FRANCO-TÉNOISES / L' AQUILON (LES),100,5,accepted
ÉDITIONS INFO PRESSE INC. - INFOPRESSE,EDITIONS INFO PRESSE INC INFOPRESSE,ÉDITIONS INFO-PRESSE INC. - INFOPRESSE,100,5,accepted
ÉDITIONS NITRAM INC. (LES)- FUGUES,EDITIONS NITRAM INC LES FUGUES,ÉDITIONS NITRAM INC. (LES)- FUGUES,100,5,accepted
Écotech Québec|Écotech Québec,ECOTECH QUEBEC,Écotech Québec|Écotech Québec,100,5,accepted
Équipe québécoise de santé porcine (EQSP),EQUIPE QUEBECOISE DE SANTE PORCINE EQSP,Équipe québécoise de santé porcine (EQSP),100,5,accepted
Érablière Denis Côté Inc.|Érablière Denis Côté Inc.,ERABLIERE DENIS COTE INC,Érablière Denis Côté Inc.|Érablière Denis Côté Inc.,100,5,accepted
1000128960 Ontario Inc.,1000128960 ONTARIO INC,1000128960 Ontario Inc.,100,4,accepted
105 Gibson Community Centre,105 GIBSON COMMUNITY CENTRE,105 Gibson Community Centre,100,4,accepted
2 ROOMS CONTEMPORARY ART PROJECTS CORP,2 ROOMS CONTEMPORARY ART PROJECTS CORP,2 ROOMS CONTEMPORARY ART PROJECTS CORP,100,4,accepted
2314932 AB Ltd. (Migo Ranch),2314932 AB LTD MIGO RANCH,2314932 AB Ltd. (Migo Ranch),100,4,accepted
2753514 Ontario Inc,2753514 ONTARIO INC,2753514 Ontario Inc.,100,4,accepted
2753514 Ontario Inc.,2753514 ONTARIO INC,2753514 Ontario Inc.,100,4,accepted
2953-8121 QUÉBEC INC. - ÉDITIONS DE L'ENVOLÉE,2953 8121 QUEBEC INC EDITIONS DE L ENVOLEE,2953-8121 QUÉBEC INC. (ÉDITIONS DE L'ENVOLÉE),100,4,accepted
55 Plus Centres Thunder Bay,55 PLUS CENTRES THUNDER BAY,55 Plus Centres Thunder Bay,100,4,accepted
662100 N.-B. Ltée,662100 N B LTEE,662100 N.-B. Ltée,100,4,accepted
7th Street Health Access Centre,7TH STREET HEALTH ACCESS CENTRE,7th Street Health Access Centre,100,4,accepted
9002-6683 Québec inc. (Pourvoirie du Lac Blanc)|9002-6683 Québec inc. (Pourvoirie du Lac Blanc),9002 6683 QUEBEC INC POURVOIRIE DU LAC BLANC,9002-6683 Québec inc. (Pourvoirie du Lac Blanc)|9002-6683 Québec inc. (Pourvoirie du Lac Blanc),100,4,accepted
